law,design,mean_D,T,R,half_width,oracle,ratio
normal,equal n=3,0.577,2.087824208352556,0.8569378694780626,1.789135628950362,1.644853626951488,1.0877172288371222
normal,half 2 / half 4,0.649125,2.134014460730204,0.8383342514905878,1.7890174156063459,1.644853626951488,1.0876453602270044
normal,half 1 / half 5,1.0386,2.3693161312291324,0.7591059390388306,1.79856194667654,1.644853626951488,1.093448023098523
normal,"1/4 at 1, 3/4 at 3.67",0.7868181818181817,2.2119623610802854,0.8072970451768883,1.7857106781426075,1.644853626951488,1.0856350065945861
normal,"3/4 at 2, 1/4 at 6",0.72125,2.180993748763915,0.8221281968555819,1.7930564580245734,1.644853626951488,1.0901009236595471
laplace,equal n=3,0.577,2.056716124587057,0.8502733436256006,1.7487708961413242,1.628173533515147,1.0740691088165604
laplace,half 2 / half 4,0.649125,2.1107448543574363,0.8329161659789165,1.7580735114511223,1.628173533515147,1.0797826369622454
laplace,half 1 / half 5,1.0386,2.3803908448937303,0.7625066501625036,1.81506384921741,1.628173533515147,1.114785255904987
laplace,"1/4 at 1, 3/4 at 3.67",0.7868181818181817,2.2077316819523713,0.8062395282457144,1.7799605497503976,1.628173533515147,1.0932253307837216
laplace,"3/4 at 2, 1/4 at 6",0.72125,2.1608003725540064,0.8170162151300798,1.7654089420357406,1.628173533515147,1.0842879494695563
gamma2_skew,equal n=3,0.577,2.015181823907542,0.8406457797901331,1.6940540957776582,1.3607284255574497,1.2449612016326146
gamma2_skew,half 2 / half 4,0.649125,2.0691922836652883,0.8225603379229758,1.7020355040793336,1.3607284255574497,1.2508267425824229
gamma2_skew,half 1 / half 5,1.0386,2.3438367848199024,0.7509898798994531,1.760197705535819,1.3607284255574497,1.2935701735007987
gamma2_skew,"1/4 at 1, 3/4 at 3.67",0.7868181818181817,2.1596057225675533,0.7935783014943428,1.7138162412126219,1.3607284255574497,1.2594844121893924
gamma2_skew,"3/4 at 2, 1/4 at 6",0.72125,2.1243189578657398,0.807218975767621,1.7147905733721225,1.3607284255574497,1.260200449380356
