condition,level,method,reps,coverage,mcse,share_rep_cov_below_lev_minus_5pp,width,DA_median
api99_n2,0.9,FH_boot,1000,0.9382095238095239,0.0010982217394261194,0.024,59.37878360904245,0.7075239470083039
api99_n2,0.9,FH_normal,1000,0.9390000000000002,0.0010318604255187861,0.013,58.97543514900253,0.7075239470083039
api99_n2,0.9,LDC_cert,1000,0.9604857142857143,0.0009943011629295507,0.01,66.92127788786124,0.7075239470083039
api99_n2,0.9,noisy_CP,1000,0.9707428571428572,0.0006646012690133927,0.0,70.30182506259959,0.7075239470083039
api99_n2,0.95,FH_boot,1000,0.9689238095238095,0.0007500284519490945,0.015,70.61452937337805,0.7075239470083039
api99_n2,0.95,FH_normal,1000,0.9696857142857143,0.0007055979596949128,0.011,70.2735653620763,0.7075239470083039
api99_n2,0.95,noisy_CP,1000,0.9902952380952381,0.00035813235028725416,0.0,89.47028590653771,0.7075239470083039
api99_n3,0.9,FH_boot,1000,0.9034000000000002,0.0013291098764496186,0.116,50.50462768229023,0.5367525345002635
api99_n3,0.9,FH_normal,1000,0.9034285714285717,0.0012789037408858892,0.106,50.27444916763532,0.5367525345002635
api99_n3,0.9,LDC_cert,1000,0.9474666666666667,0.0011277479722696672,0.018,60.138330005045354,0.5367525345002635
api99_n3,0.9,noisy_CP,1000,0.9528190476190477,0.0009213636370988896,0.005,61.03044625265217,0.5367525345002635
api99_n3,0.95,FH_boot,1000,0.9480476190476191,0.0010088585497239585,0.08,60.231691668605414,0.5367525345002635
api99_n3,0.95,FH_normal,1000,0.9492857142857143,0.0009543511248572131,0.066,59.90570108890426,0.5367525345002635
api99_n3,0.95,noisy_CP,1000,0.9846380952380953,0.0004462416930940658,0.0,76.89873795583114,0.5367525345002635
socio_n2,0.9,FH_boot,1000,0.9244952380952383,0.0012665055572621893,0.054,123.44253683755005,0.4790258396944728
socio_n2,0.9,FH_normal,1000,0.9274857142857144,0.0011654893955175842,0.035,123.30667509378267,0.4790258396944728
socio_n2,0.9,LDC_cert,1000,0.9560285714285714,0.001089108661682262,0.014,139.7337289253406,0.4790258396944728
socio_n2,0.9,noisy_CP,1000,0.9587714285714286,0.0008450271571334961,0.001,140.04557409848914,0.4790258396944728
socio_n2,0.95,FH_boot,1000,0.9644857142857144,0.0007903296160977517,0.024,147.3024952799756,0.4790258396944728
socio_n2,0.95,FH_normal,1000,0.9658190476190477,0.0007359909204711485,0.01,146.9289657615998,0.4790258396944728
socio_n2,0.95,noisy_CP,1000,0.9868952380952382,0.00041584605237653257,0.0,179.43440215686016,0.4790258396944728
socio_n3,0.9,FH_boot,1000,0.8977714285714287,0.0014759527077719164,0.168,110.15615316304483,0.3364779672331156
socio_n3,0.9,FH_normal,1000,0.8994952380952382,0.0013356734518793565,0.133,109.87405418206225,0.3364779672331156
socio_n3,0.9,LDC_cert,1000,0.9443714285714286,0.0011067807589833281,0.023,129.08775369673776,0.3364779672331156
socio_n3,0.9,noisy_CP,1000,0.9407809523809526,0.0010664546989650671,0.022,126.49889756031766,0.3364779672331156
socio_n3,0.95,FH_boot,1000,0.9467142857142857,0.0010425399803840303,0.095,131.1489563702141,0.3364779672331156
socio_n3,0.95,FH_normal,1000,0.9496761904761907,0.0009179803640164067,0.063,130.92301071881207,0.3364779672331156
socio_n3,0.95,noisy_CP,1000,0.9791714285714287,0.0005803857302649811,0.004,158.6843155601208,0.3364779672331156
