condition,method,reps,coverage,mcse,width,DA
api99_n3,LDC_k102,1000,0.945152380952381,0.0012538286490954935,59.86515837377397,0.6087553122131569
api99_n3,gauss_plugin,1000,0.8833428571428574,0.0018459139300735306,47.87003671250374,0.6087553122131569
api99_n3,noisy_CP,1000,0.9513619047619049,0.0009578730532237633,60.887163018783674,0.6087553122131569
api99_n3,noisy_CP_k102,1000,0.9632285714285715,0.0008177759813920207,64.90790343200848,0.6087553122131569
api99_n3,oracle,1000,0.8981714285714288,0.0012885486022488637,49.59560692151751,0.6087553122131569
api99_n4,LDC_k102,1000,0.9416952380952383,0.0011196426761119595,57.56760060032415,0.39549736619160614
api99_n4,gauss_plugin,1000,0.8915904761904764,0.0015557076243970667,48.15259589597379,0.39549736619160614
api99_n4,noisy_CP,1000,0.939752380952381,0.0010360205374284211,56.84214399539853,0.39549736619160614
api99_n4,noisy_CP_k102,1000,0.953952380952381,0.0008886526519035892,60.50167730412351,0.39549736619160614
api99_n4,oracle,1000,0.9008190476190477,0.0012896567751994222,49.311534102414946,0.39549736619160614
socio_n3,LDC_k102,1000,0.9458190476190478,0.0010966673299230272,129.91010497393356,0.3474713827020836
socio_n3,gauss_plugin,1000,0.8951619047619049,0.0015912987281063576,109.7558949944803,0.3474713827020836
socio_n3,noisy_CP,1000,0.9420095238095239,0.001039841257726313,127.36710267351498,0.3474713827020836
socio_n3,noisy_CP_k102,1000,0.9555714285714286,0.0009029940003147938,135.6422543147555,0.3474713827020836
socio_n3,oracle,1000,0.8997809523809526,0.0012809279714636789,110.28644561056151,0.3474713827020836
