shape,seed,rule,nu,alpha,half,cov
normal,300011,CP,,,2.791454004409898,0.9947528185258065
normal,300011,Oracle,,,2.6041348322484223,0.9907893486042423
normal,300011,H,2.0,9e-05,3.9197996321958097,0.999911377382317
normal,300011,H,2.0,0.001,3.802558564010607,0.9998567906014071
normal,300011,H,2.0,0.005,3.651820047772489,0.9997396116730835
normal,300011,H,10.0,9e-05,3.1291993144965353,0.9982471663304198
normal,300011,H,10.0,0.001,3.0347360812012636,0.9975925374514916
normal,300011,H,10.0,0.005,2.978907001113072,0.9971072143726236
normal,300011,H,50.0,9e-05,2.8201696745136418,0.9952001737497129
normal,300011,H,50.0,0.001,2.7978380424783653,0.9948554098239704
normal,300011,H,50.0,0.005,2.786672226460727,0.9946747687880495
normal,300011,H,200.0,9e-05,2.7023211403990746,0.9931142779815056
normal,300011,H,200.0,0.001,2.691155324381436,0.9928794965664618
normal,300011,H,200.0,0.005,2.6967382323902553,0.992997770951199
normal,300011,H,1000.0,9e-05,2.6441862497265993,0.9918112416142371
normal,300011,H,1000.0,0.001,2.6441862497265993,0.9918112416142371
normal,300011,H,1000.0,0.005,2.6553520657442373,0.9920774325567905
normal,300009,CP,,,2.5576823459116538,0.9894627702766161
normal,300009,Oracle,,,2.3422403765687094,0.9808316350245285
normal,300009,H,2.0,9e-05,3.5761880322042114,0.999651359074079
normal,300009,H,2.0,0.001,3.463650008984111,0.9994671006281619
normal,300009,H,2.0,0.005,3.340881256380365,0.9991648706793075
normal,300009,H,10.0,9e-05,2.856912283140591,0.9957221596001973
normal,300009,H,10.0,0.001,2.7703599187615384,0.9944005619938705
normal,300009,H,10.0,0.005,2.7192062718433108,0.9934561214169471
normal,300009,H,50.0,9e-05,2.5629751562380028,0.9896220525784778
normal,300009,H,50.0,0.001,2.5373983327788885,0.988832019894047
normal,300009,H,50.0,0.005,2.532282968087066,0.988667750130618
normal,300009,H,200.0,9e-05,2.445321768326079,0.9855277039718886
normal,300009,H,200.0,0.001,2.4402064036342566,0.9853211276694716
normal,300009,H,200.0,0.005,2.445321768326079,0.9855277039718886
normal,300009,H,1000.0,9e-05,2.386940047348394,0.9830107384364428
normal,300009,H,1000.0,0.001,2.392055412040217,0.9832456873394562
normal,300009,H,1000.0,0.005,2.4022861414238625,0.9837070417968323
normal,300007,CP,,,3.033999975780292,0.9975866555063713
normal,300007,Oracle,,,2.863851067764357,0.9958147525777143
normal,300007,H,2.0,9e-05,4.2664541536756815,0.9999801395715431
normal,300007,H,2.0,0.001,4.132958154741363,0.9999641876053473
normal,300007,H,2.0,0.005,3.963054156097686,0.9999260030126278
normal,300007,H,10.0,9e-05,3.395023556418607,0.9993137730398687
normal,300007,H,10.0,0.001,3.2923525301085856,0.9990064701245589
normal,300007,H,10.0,0.005,3.237740530544546,0.998795196695174
normal,300007,H,50.0,9e-05,3.0773467146967133,0.9979114777730465
normal,300007,H,50.0,0.001,3.053074714890474,0.9977349046565376
normal,300007,H,50.0,0.005,3.040938714987354,0.9976415817084718
normal,300007,H,200.0,9e-05,2.955986715665515,0.9968832948543465
normal,300007,H,200.0,0.001,2.9499187157139555,0.9968214245732361
normal,300007,H,200.0,0.005,2.955986715665515,0.9968832948543465
normal,300007,H,1000.0,9e-05,2.9042763085614967,0.9963189686037977
normal,300007,H,1000.0,0.001,2.9042763085614967,0.9963189686037977
normal,300007,H,1000.0,0.005,2.9164123084646167,0.9964591775811313
normal,300006,CP,,,2.7814933134492184,0.9945890554691199
normal,300006,Oracle,,,2.594798534912665,0.990535362118647
normal,300006,H,2.0,9e-05,3.905812687505907,0.9999060907632693
normal,300006,H,2.0,0.001,3.7889899683410526,0.9998487389789583
normal,300006,H,2.0,0.005,3.6387893294148115,0.9997260772371499
normal,300006,H,10.0,9e-05,3.118033453523426,0.9981793786308979
normal,300006,H,10.0,0.001,3.0239072915438605,0.9975046710730411
normal,300006,H,10.0,0.005,2.9682774252748825,0.9970052609763238
normal,300006,H,50.0,9e-05,2.8101065179865654,0.9950474893901804
normal,300006,H,50.0,0.001,2.7822915848520764,0.9946023478987234
normal,300006,H,50.0,0.005,2.771165611598281,0.9944143990227599
normal,300006,H,200.0,9e-05,2.692678500501192,0.9929119418116694
normal,300006,H,200.0,0.001,2.687115513874294,0.9927927976575361
normal,300006,H,200.0,0.005,2.687115513874294,0.9927927976575361
normal,300006,H,1000.0,9e-05,2.6347510514269326,0.9915800987738503
normal,300006,H,1000.0,0.001,2.6403140380538304,0.9917170764235852
normal,300006,H,1000.0,0.005,2.651440011307626,0.991985065057551
normal,300000,CP,,,2.4745934498594884,0.9866612080655242
normal,300000,Oracle,,,2.250386007232751,0.9755755475218981
normal,300000,H,2.0,9e-05,3.469910323330293,0.9994793678394991
normal,300000,H,2.0,0.001,3.3610282115364876,0.9992234710642995
normal,300000,H,2.0,0.005,3.242247725943245,0.9988140911047232
normal,300000,H,10.0,9e-05,2.774000973945788,0.9944628487568439
normal,300000,H,10.0,0.001,2.6803619768024807,0.9926457413930347
normal,300000,H,10.0,0.005,2.6308701078052965,0.9914833420138431
normal,300000,H,50.0,9e-05,2.474765130993233,0.9866676178698308
normal,300000,H,50.0,0.001,2.4500191964946403,0.985715140126882
normal,300000,H,50.0,0.005,2.4401208226952034,0.985317649618737
normal,300000,H,200.0,9e-05,2.3609338322997084,0.9817710172274525
normal,300000,H,200.0,0.001,2.351035458500272,0.9812787502727904
normal,300000,H,200.0,0.005,2.35598464539999,0.9815263187147474
normal,300000,H,1000.0,9e-05,2.2945503267348535,0.9782410922382139
normal,300000,H,1000.0,0.001,2.296743506662409,0.9783665940144097
normal,300000,H,1000.0,0.005,2.306641880461846,0.9789252072372796
normal,300010,CP,,,2.4514922999235376,0.9857734769706199
normal,300010,Oracle,,,2.2209957500005797,0.9736487507498797
