rule,nu,alpha,n,rel_to_cp,pr_cov_ge_90
CP,,,90,0.0,1.0
H,2.0,9e-05,90,0.3991031893944209,1.0
H,2.0,0.001,90,0.3573476338388699,1.0
H,2.0,0.005,90,0.3065698560610977,1.0
H,10.0,9e-05,90,0.11914370557946603,1.0
H,10.0,0.001,90,0.08446356872174447,1.0
H,10.0,0.005,90,0.06390801316619117,1.0
H,50.0,9e-05,90,0.0002849214513843321,1.0
H,50.0,0.001,90,-0.009285141858394448,1.0
H,50.0,0.005,90,-0.012998670928542531,1.0
H,200.0,9e-05,90,-0.04667216988427147,1.0
H,200.0,0.001,90,-0.05008609825011096,1.0
H,200.0,0.005,90,-0.04813281115476437,1.0
H,1000.0,9e-05,90,-0.07198217977284534,0.9777777777777777
H,1000.0,0.001,90,-0.07112788778521642,0.9777777777777777
H,1000.0,0.005,90,-0.06626122111855029,0.9777777777777777
Oracle,,,90,-0.0911172567702696,0.9777777777777777
