p,q,x,L,U,tol,evals,beta,ell,seconds
0.9,0.9,0.01,0.9988177978521758,1.0018142512457322,0.003,20228246,0.019530898503947586,1.918201255495786,38.418116092681885
0.9,0.9,0.0105,0.9986299385561376,1.0016258283718058,0.003,19860834,0.042908870346328024,1.9158832240885235,36.9004967212677
0.9,0.9,0.011,0.9984361413067206,1.0014314497306407,0.003,19411826,0.06510931088434933,1.9136060153824372,36.28586149215698
0.9,0.9,0.0115,0.9982366364097998,1.001231346319029,0.003,18616126,0.08624448984869991,1.911367085849747,35.94336152076721
0.9,0.9,0.012,0.9980316334442035,1.001025728344536,0.003,18381474,0.10641410394909516,1.9091638793363903,35.44029521942139
0.9,0.9,0.0125,0.9978213239217001,1.000814787893465,0.003,20044252,0.12570311022336264,1.9069934250551728,36.11631536483765
0.9,0.9,0.013,0.997605883510921,0.9986034893944319,0.001,17316596,0.14418680753887475,1.904854696329239,33.87847590446472
0.9,0.9,0.0135,0.997385473910965,0.9983828593848758,0.001,16944234,0.16193102425523173,1.9027452801755689,33.07852792739868
0.9,0.9,0.014,0.9971602444409265,0.9981574046853674,0.001,16309294,0.17899379037406404,1.9006634998167857,33.68600296974182
0.9,0.9,0.0145,0.9969303333971834,0.9979272637305805,0.001,16059124,0.19542658731171608,1.8986079975754837,31.303090810775757
0.9,0.9,0.015,0.996695869219267,0.9976925650884861,0.001,15270272,0.21127607974183713,1.8965774317017983,30.64558982849121
0.9,0.9,0.0155,0.9964569714969166,0.9974534284684134,0.001,14716586,0.22658277275312888,1.8945702408182896,30.29457950592041
0.9,0.9,0.016,0.996213751844409,0.9972099655962533,0.001,14469112,0.241383819701845,1.8925857504495236,29.220961809158325
0.9,0.9,0.0165,0.9959663146633286,0.9969622809779919,0.001,16071260,0.25571359996230986,1.8906222532362118,32.015676498413086
0.9,0.9,0.017,0.9957147578109758,0.9967104725687868,0.001,14970660,0.26960114336857544,1.8886791187501502,23.370452642440796
0.9,0.9,0.0175,0.9954591731885888,0.9964546323617772,0.001,15251920,0.2830749512225551,1.886755466198325,23.055522918701172
0.9,0.9,0.018,0.9951996472610202,0.9961948469082811,0.001,14274670,0.29615887869450597,1.884850063435671,22.555996656417847
0.9,0.9,0.0185,0.9949362615175631,0.9959311977790806,0.001,13807388,0.30887676949035775,1.8829623293360411,22.492860317230225
0.9,0.9,0.019,0.9946690928820413,0.9956637619749232,0.001,13777200,0.32124913660498106,1.8810916703163842,22.541887521743774
0.9,0.9,0.0195,0.9943982140789216,0.9953926122930004,0.001,13376456,0.33329524330763316,1.8792373011349819,21.846102714538574
0.9,0.9,0.02,0.9941236939612105,0.9951178176551716,0.001,14090264,0.34503236791434827,1.877398327516905,23.04914379119873
0.9,0.9,0.0205,0.9938455978050009,0.9948394434028058,0.001,13446836,0.35647714388117624,1.8755743280494719,22.163669109344482
0.9,0.9,0.021,0.9935639875747589,0.9945575515623336,0.001,12881080,0.3676447623828655,1.873764652083811,21.466355562210083
0.9,0.9,0.0215,0.9932789221629431,0.9942722010851059,0.001,12880226,0.3785488644748354,1.871968611986397,21.513405561447144
0.9,0.9,0.022,0.9929904576069488,0.9939834480645556,0.001,13590660,0.38920182021437527,1.8701859771713947,21.659390211105347
0.9,0.9,0.0225,0.9926986472860251,0.993691345933311,0.001,13043852,0.39961664477248116,1.8684160886608434,21.441000938415527
0.9,0.9,0.023,0.9924035421003977,0.993395945642498,0.001,12771350,0.40980352480594323,1.8666583142251527,21.201998949050903
0.9,0.9,0.0235,0.9921051906345774,0.9930972958252118,0.001,12795774,0.41977338148508186,1.8649127128459695,21.081153869628906
0.9,0.9,0.024,0.9918036393065675,0.992795442945874,0.001,12009626,0.4295358873352613,1.863178197641409,20.71014165878296
0.9,0.9,0.0245,0.9914989325044257,0.9924904314369299,0.001,13426920,0.4390999551537816,1.8614548538697417,22.09599542617798
0.9,0.9,0.025,0.9911911127115484,0.9921823038242598,0.001,12922308,0.44847375889760277,1.8597423575618963,22.290477991104126
0.9,0.9,0.0255,0.9908802206217573,0.991871100842379,0.001,12313946,0.4576657729971819,1.8580401198288468,21.784647703170776
0.9,0.9,0.026,0.9905662952452482,0.9915568615404934,0.001,11966296,0.46668326238095476,1.8563477091059042,20.704826593399048
0.9,0.9,0.0265,0.9902493740062742,0.9912396233802804,0.001,11946532,0.4755334941946174,1.854665219847193,20.978326082229614
0.9,0.9,0.027,0.9899294928333466,0.9909194223261799,0.001,11537134,0.4842226707296724,1.8529915595151223,20.465802431106567
0.9,0.9,0.0275,0.9896066862426885,0.9905962929289311,0.001,11172458,0.49275735774406565,1.851327471207183,19.913175344467163
0.9,0.9,0.028,0.989280987415495,0.9902702684029103,0.001,11704902,0.5011430339799394,1.8496720419344779,21.074485301971436
0.9,0.9,0.0285,0.9889524282696502,0.9899413806979198,0.001,11172896,0.5093854990644361,1.8480252475135823,20.586061716079712
0.9,0.9,0.029,0.9886210395263433,0.9896096605658695,0.001,11102494,0.5174895874696951,1.8463861287574175,21.27393078804016
0.9,0.9,0.0295,0.9882868507719627,0.9892751376227346,0.001,11471222,0.5254610247310585,1.8447555124263777,20.176064014434814
0.9,0.9,0.03,0.9879498905158505,0.9889378404063662,0.001,11227074,0.5333038884374528,1.8431324046039383,20.614818811416626
0.9,0.9,0.0305,0.9876101862440773,0.9885977964303212,0.001,10835548,0.5410231882423575,1.8415167567446793,20.213400840759277
0.9,0.9,0.031,0.9872677644696911,0.9882550322341607,0.001,11350988,0.5486227445031031,1.8399087302686503,21.62148380279541
0.9,0.9,0.0315,0.9869226507796499,0.9879095734304294,0.001,10947690,0.5561061415084193,1.8383075835744218,21.176299333572388
