shape,regime,method,reps,mean_cov,pr_cov_ge_90,width
gamma2_skew,common,LDC_PAC,2000,0.9639104639726306,1.0,4.538101660226236
gamma2_skew,common,LDC_cert,2000,0.9636944036690075,1.0,4.5281776498239035
gamma2_skew,common,LDC_cert_pk,2000,0.962305536900926,0.9995,4.463478373784457
gamma2_skew,hetero,LDC_PAC,2000,0.9662222844915638,0.9995,4.676775776559913
gamma2_skew,hetero,LDC_cert,2000,0.9660231312412896,0.9995,4.6671207914355035
gamma2_skew,hetero,LDC_cert_pk,2000,0.9647104924907012,0.999,4.601701462328294
laplace,common,LDC_PAC,2000,0.9618881858260923,0.9905,4.775554164607485
laplace,common,LDC_cert,2000,0.961607277018694,0.9905,4.765573390683737
laplace,common,LDC_cert_pk,2000,0.9598193706594849,0.989,4.699518425960168
laplace,hetero,LDC_PAC,2000,0.963088181709196,0.996,4.826713149021444
laplace,hetero,LDC_cert,2000,0.9628287976529971,0.996,4.816968776073925
laplace,hetero,LDC_cert_pk,2000,0.9610930257549508,0.9945,4.750666270162924
normal,common,LDC_PAC,2000,0.9745572961297667,0.9965,4.605961388288684
normal,common,LDC_cert,2000,0.9742351290998007,0.996,4.596209909111378
normal,common,LDC_cert_pk,2000,0.9721115009180511,0.994,4.531111550143422
normal,hetero,LDC_PAC,2000,0.9749720825546505,0.995,4.635935432633418
normal,hetero,LDC_cert,2000,0.9746471850396987,0.995,4.626012016903622
normal,hetero,LDC_cert_pk,2000,0.9725629614218184,0.9935,4.5607705214601255
shifted_normal,common,LDC_PAC,2000,0.9736127478306728,0.997,4.76695123259429
shifted_normal,common,LDC_cert,2000,0.9733035434898695,0.997,4.757518258009465
shifted_normal,common,LDC_cert_pk,2000,0.9711611876542936,0.996,4.691465914278251
shifted_normal,hetero,LDC_PAC,2000,0.9731595296064812,0.997,4.762402136069724
shifted_normal,hetero,LDC_cert,2000,0.972831102979666,0.996,4.752508979635187
shifted_normal,hetero,LDC_cert_pk,2000,0.9706675314835428,0.9945,4.686588763893471
t3_not_LC,common,LDC_PAC,2000,0.9634522033571457,0.995,4.3403228669622065
t3_not_LC,common,LDC_cert,2000,0.9632060438264138,0.9945,4.329780761635757
t3_not_LC,common,LDC_cert_pk,2000,0.961740249062758,0.9935,4.2661182397715125
t3_not_LC,hetero,LDC_PAC,2000,0.9653333628296251,0.9985,4.4344427420880965
t3_not_LC,hetero,LDC_cert,2000,0.965110608249402,0.9985,4.424407495245928
t3_not_LC,hetero,LDC_cert_pk,2000,0.9637341950717228,0.9965,4.360299726194829
trunc_exp,common,LDC_PAC,2000,0.9599753057084123,0.9985,4.707554503708201
trunc_exp,common,LDC_cert,2000,0.9597228904726078,0.9985,4.697491255409903
trunc_exp,common,LDC_cert_pk,2000,0.9581090092348029,0.998,4.631814752465129
trunc_exp,hetero,LDC_PAC,2000,0.9614537186314446,0.9995,4.774849577011077
trunc_exp,hetero,LDC_cert,2000,0.9612192897037393,0.9995,4.765270748553993
trunc_exp,hetero,LDC_cert_pk,2000,0.9596396672011507,0.9985,4.699241027421364
trunc_laplace,common,LDC_PAC,2000,0.9734741203683578,0.993,4.678375823202429
trunc_laplace,common,LDC_cert,2000,0.9730159655276772,0.9925,4.668604282289034
trunc_laplace,common,LDC_cert_pk,2000,0.9700063746519338,0.986,4.6031104828315845
trunc_laplace,hetero,LDC_PAC,2000,0.9731029875618373,0.9875,4.672055496691881
trunc_laplace,hetero,LDC_cert,2000,0.972632064446401,0.987,4.661938691934799
trunc_laplace,hetero,LDC_cert_pk,2000,0.9696058464187004,0.985,4.596521591820414
