shape,nu,method,reps,mean_cov,pr_cov_ge_90,width
normal,4,CP_PAC,120,0.9827695466414965,1.0,4.863814622626799
normal,4,FH_PAC,120,0.9556186016028203,0.9916666666666667,4.105791111613998
normal,4,HetLDC,120,0.9655907279088568,0.9833333333333333,4.348185406623472
normal,4,LDC_PAC,120,0.9739672277144641,1.0,4.573045776982238
normal,10,CP_PAC,120,0.9840215939614081,1.0,4.938345211886597
normal,10,FH_PAC,120,0.9547240279257386,0.975,4.095540990636063
normal,10,HetLDC,120,0.96753012140061,0.9916666666666667,4.414528307341301
normal,10,LDC_PAC,120,0.9749758222435059,1.0,4.625915064755224
trunc_laplace,4,CP_PAC,120,0.9868327736140068,1.0,4.975760631261599
trunc_laplace,4,FH_PAC,120,0.9435712116612198,0.95,4.1232877821912455
trunc_laplace,4,HetLDC,120,0.9641370364724406,0.975,4.478766875277527
trunc_laplace,4,LDC_PAC,120,0.9753690733035738,0.9916666666666667,4.704804295454024
trunc_laplace,10,CP_PAC,120,0.9849628217738943,1.0,4.926851202261961
trunc_laplace,10,FH_PAC,120,0.9354028565583705,0.925,4.001081173035738
trunc_laplace,10,HetLDC,120,0.9600435939780989,0.9833333333333333,4.404280812401859
trunc_laplace,10,LDC_PAC,120,0.9709675321696027,0.9916666666666667,4.614256174372125
