shape,method,reps,mean_cov,pr_cov_ge_90,q05_cov,width
gamma2_skew,CP_PAC,150,0.9718079716522787,1.0,0.9564964979786067,4.966693518123572
gamma2_skew,FH_PAC,150,0.9497930993903009,1.0,0.9142467579177834,3.954129075088663
gamma2_skew,FH_normal,150,0.9258081714260468,0.8466666666666667,0.8740636167506467,3.2881077914277452
gamma2_skew,HetLDC,150,0.9607746549433792,1.0,0.9355326144801143,4.437993384221436
gamma2_skew,HetLDC_cert,150,0.9609334686389819,1.0,0.935660547438586,4.447237351916468
gamma2_skew,LDC_PAC,150,0.9642292020834771,1.0,0.9407358371343146,4.598750697829032
gamma2_skew,LDC_cert_pk,150,0.9612622571685313,1.0,0.936058690105563,4.461158558005945
laplace,CP_PAC,150,0.9712185563757051,1.0,0.9475694356379337,5.1494410281587895
laplace,FH_PAC,150,0.9347936054709057,0.9266666666666666,0.8924471091244082,3.9552397735528446
laplace,FH_normal,150,0.8959816069524263,0.5133333333333333,0.8345191806332617,3.2863428245397674
laplace,HetLDC,150,0.9580425092983413,0.9866666666666667,0.9158245189163,4.650040026987114
laplace,HetLDC_cert,150,0.958278914124405,0.9866666666666667,0.9160325829194889,4.661187465831468
laplace,LDC_PAC,150,0.962454821677037,0.9933333333333333,0.9233457729799677,4.8128178932981855
laplace,LDC_cert_pk,150,0.9587080470032261,0.9866666666666667,0.9166516871193607,4.675229562197438
normal,CP_PAC,150,0.9838749626278898,1.0,0.9600276637286707,4.962765050126597
normal,FH_PAC,150,0.9453415568059556,0.96,0.910095366110206,3.9302535532427934
normal,FH_normal,150,0.8905063595869103,0.41333333333333333,0.8280904576657618,3.268711296661789
normal,HetLDC,150,0.967130865303906,0.98,0.9117638131798345,4.440317430215453
normal,HetLDC_cert,150,0.967359141589685,0.98,0.9120813875059631,4.448262960150393
normal,LDC_PAC,150,0.9727458497044681,0.9933333333333333,0.9239911267673055,4.60007691199425
normal,LDC_cert_pk,150,0.9679474526102333,0.98,0.9131076090803062,4.463748725985732
trunc_laplace,CP_PAC,150,0.9842199646597262,1.0,0.9553365556069204,4.931373193819271
trunc_laplace,FH_PAC,150,0.9274604706647009,0.8466666666666667,0.880444830046735,3.8920075667230747
trunc_laplace,FH_normal,150,0.8694443825883381,0.18666666666666668,0.8094347689727595,3.2397448057989893
trunc_laplace,HetLDC,150,0.9591495090865608,0.9666666666666667,0.9030491739239614,4.409025768372587
trunc_laplace,HetLDC_cert,150,0.9595038554962798,0.9666666666666667,0.9033607102618614,4.41709286267084
trunc_laplace,LDC_PAC,150,0.9674127117938169,0.98,0.9156658647624855,4.569382476438644
trunc_laplace,LDC_cert_pk,150,0.9603587266863743,0.9733333333333334,0.9037673204985779,4.432230420961304
