shape,seed,method,k,p_k,half,cov
gamma2_skew,42000,SF_k106,106,0.9187206599719125,3.147754260409019,0.9882413768875823
gamma2_skew,42000,SF_k107,107,0.9310223909852352,2.890235052647278,0.9839024741768317
gamma2_skew,42000,SF_k108,108,0.9438729148535301,2.861149864510751,0.9833238805886743
gamma2_skew,42000,SF_k109,109,0.957600953042881,2.834520973545575,0.9827764469484775
gamma2_skew,42000,SF_k110,110,0.9731335699937322,2.785496942649489,0.9817225723620844
gamma2_skew,42001,SF_k106,106,0.9187206599719125,3.5668606612884144,0.992982432407505
gamma2_skew,42001,SF_k107,107,0.9310223909852352,3.5568684746415653,0.992895065485447
gamma2_skew,42001,SF_k108,108,0.9438729148535301,3.6465713998854454,0.9936426935676625
gamma2_skew,42001,SF_k109,109,0.957600953042881,3.9859989858143368,0.9958348054472771
gamma2_skew,42001,SF_k110,110,0.9731335699937322,4.298790295940817,0.9971867041903035
gamma2_skew,42002,SF_k106,106,0.9187206599719125,3.5263979659544824,0.992622014277307
gamma2_skew,42002,SF_k107,107,0.9310223909852352,4.5349255942077695,0.9979113221832913
gamma2_skew,42002,SF_k108,108,0.9438729148535301,4.591102788159717,0.9980545582964004
gamma2_skew,42002,SF_k109,109,0.957600953042881,4.493429296449286,0.997798889146815
gamma2_skew,42002,SF_k110,110,0.9731335699937322,6.044156396832715,0.9996968367886685
gamma2_skew,42003,SF_k106,106,0.9187206599719125,3.4469527007676217,0.9918608433341666
gamma2_skew,42003,SF_k107,107,0.9310223909852352,3.215830328566157,0.9891826650763447
gamma2_skew,42003,SF_k108,108,0.9438729148535301,3.523324154961245,0.9925939051917859
gamma2_skew,42003,SF_k109,109,0.957600953042881,3.4386846470984405,0.9917773428550716
gamma2_skew,42003,SF_k110,110,0.9731335699937322,4.13698078334437,0.9965524518370681
gamma2_skew,42004,SF_k106,106,0.9187206599719125,3.2081655189265703,0.9890804751822542
gamma2_skew,42004,SF_k107,107,0.9310223909852352,3.0222389936801894,0.9862919560036729
gamma2_skew,42004,SF_k108,108,0.9438729148535301,2.8713267637273887,0.9835285946317921
gamma2_skew,42004,SF_k109,109,0.957600953042881,2.7018079306150606,0.9797770481832943
gamma2_skew,42004,SF_k110,110,0.9731335699937322,2.6807172889949538,0.9792558878024621
gamma2_skew,42005,SF_k106,106,0.9187206599719125,3.1537394252543645,0.9883272412890979
gamma2_skew,42005,SF_k107,107,0.9310223909852352,2.9054642717386545,0.9841975904843373
gamma2_skew,42005,SF_k108,108,0.9438729148535301,3.035419679894254,0.9865106323737307
gamma2_skew,42005,SF_k109,109,0.957600953042881,3.452027920572077,0.9919116871295961
gamma2_skew,42005,SF_k110,110,0.9731335699937322,3.587104198152798,0.9931562177724664
gamma2_skew,42006,SF_k106,106,0.9187206599719125,3.1808427776982686,0.9887084715863828
gamma2_skew,42006,SF_k107,107,0.9310223909852352,2.970292220364916,0.9853959933725963
gamma2_skew,42006,SF_k108,108,0.9438729148535301,3.917996320440871,0.9954654030417925
gamma2_skew,42006,SF_k109,109,0.957600953042881,3.7687216769761136,0.9945380018042286
gamma2_skew,42006,SF_k110,110,0.9731335699937322,3.861481504868219,0.9951340676144335
gamma2_skew,42007,SF_k106,106,0.9187206599719125,3.5367758443775115,0.9927161470312876
gamma2_skew,42007,SF_k107,107,0.9310223909852352,3.3210090754761734,0.9904940305426156
gamma2_skew,42007,SF_k108,108,0.9438729148535301,3.2190368559901503,0.9892251379644944
gamma2_skew,42007,SF_k109,109,0.957600953042881,3.703604528791917,0.9940773308518992
gamma2_skew,42007,SF_k110,110,0.9731335699937322,4.225592106871034,0.9969154441719587
gamma2_skew,42008,SF_k106,106,0.9187206599719125,2.8705014444110417,0.9835120843675433
gamma2_skew,42008,SF_k107,107,0.9310223909852352,2.638772030617936,0.9781803977849816
gamma2_skew,42008,SF_k108,108,0.9438729148535301,2.691706830418442,0.9795290501630409
gamma2_skew,42008,SF_k109,109,0.957600953042881,2.545967384449209,0.9756053125415616
gamma2_skew,42008,SF_k110,110,0.9731335699937322,5.214978930363315,0.999120085497236
gamma2_skew,42009,SF_k106,106,0.9187206599719125,3.1433188839544104,0.9881773486991313
gamma2_skew,42009,SF_k107,107,0.9310223909852352,3.306765607594805,0.9903259922449963
gamma2_skew,42009,SF_k108,108,0.9438729148535301,3.1510259177229987,0.988288388853541
gamma2_skew,42009,SF_k109,109,0.957600953042881,3.5416749622416903,0.9927601748007971
gamma2_skew,42009,SF_k110,110,0.9731335699937322,3.242240917435443,0.989527676079712
gamma2_skew,42010,SF_k106,106,0.9187206599719125,3.3587273277194836,0.9909253489270621
gamma2_skew,42010,SF_k107,107,0.9310223909852352,3.0932735216602945,0.9874309089362066
gamma2_skew,42010,SF_k108,108,0.9438729148535301,3.160950629828345,0.9884298820871493
gamma2_skew,42010,SF_k109,109,0.957600953042881,2.9908420758154546,0.9857570516518028
gamma2_skew,42010,SF_k110,110,0.9731335699937322,3.2750575210535398,0.9899414193310747
gamma2_skew,42011,SF_k106,106,0.9187206599719125,2.972799835180923,0.9854405248806696
gamma2_skew,42011,SF_k107,107,0.9310223909852352,3.2836494809386347,0.9900470786864702
gamma2_skew,42011,SF_k108,108,0.9438729148535301,3.460050329153156,0.9919914225081481
gamma2_skew,42011,SF_k109,109,0.957600953042881,3.8247093417717015,0.9949058299263946
gamma2_skew,42011,SF_k110,110,0.9731335699937322,3.7227637611227378,0.994216692480744
gamma2_skew,42012,SF_k106,106,0.9187206599719125,3.2180301464345598,0.9892118209041355
gamma2_skew,42012,SF_k107,107,0.9310223909852352,3.031017723535304,0.9864379818561204
gamma2_skew,42012,SF_k108,108,0.9438729148535301,2.8195447339776107,0.982460931128485
gamma2_skew,42012,SF_k109,109,0.957600953042881,2.6971899619961923,0.9796640336495843
gamma2_skew,42012,SF_k110,110,0.9731335699937322,2.492497919057501,0.9739905410229182
gamma2_skew,42013,SF_k106,106,0.9187206599719125,3.3180473579244616,0.990459326143139
gamma2_skew,42013,SF_k107,107,0.9310223909852352,3.2057349715252483,0.9890478738436072
gamma2_skew,42013,SF_k108,108,0.9438729148535301,3.2528412283205252,0.9896631077982416
gamma2_skew,42013,SF_k109,109,0.957600953042881,3.242977390750819,0.9895371411836652
gamma2_skew,42013,SF_k110,110,0.9731335699937322,6.689373435534216,0.9998686523404134
gamma2_skew,42014,SF_k106,106,0.9187206599719125,2.826133473371774,0.9826004273431649
gamma2_skew,42014,SF_k107,107,0.9310223909852352,2.8058856207144767,0.9821682699786116
gamma2_skew,42014,SF_k108,108,0.9438729148535301,2.5851801980842453,0.9767274019519632
gamma2_skew,42014,SF_k109,109,0.957600953042881,2.37729682058777,0.9701527258773297
gamma2_skew,42014,SF_k110,110,0.9731335699937322,2.7599152631935673,0.9811480254518274
gamma2_skew,42015,SF_k106,106,0.9187206599719125,3.3641347647577846,0.9909855943738091
gamma2_skew,42015,SF_k107,107,0.9310223909852352,3.244487288193344,0.9895565201566536
gamma2_skew,42015,SF_k108,108,0.9438729148535301,3.4059552842945835,0.9914384970387532
gamma2_skew,42015,SF_k109,109,0.957600953042881,3.700409769228646,0.9940537743419797
gamma2_skew,42015,SF_k110,110,0.9731335699937322,4.274180131689391,0.9970982324498671
gamma2_skew,42016,SF_k106,106,0.9187206599719125,2.9423538721442664,0.9848907903672508
gamma2_skew,42016,SF_k107,107,0.9310223909852352,2.879065554612982,0.9836826264188453
gamma2_skew,42016,SF_k108,108,0.9438729148535301,2.8047362229519632,0.982143427517243
gamma2_skew,42016,SF_k109,109,0.957600953042881,3.172020494864902,0.98858573315842
gamma2_skew,42016,SF_k110,110,0.9731335699937322,3.1297919507711747,0.9879799683186241
gamma2_skew,42017,SF_k106,106,0.9187206599719125,2.8284776746403,0.9826497979430233
gamma2_skew,42017,SF_k107,107,0.9310223909852352,2.623251978170921,0.9777689126634779
gamma2_skew,42017,SF_k108,108,0.9438729148535301,2.883304383981097,0.9837664005350636
gamma2_skew,42017,SF_k109,109,0.957600953042881,3.587434936652441,0.9931590217653724
gamma2_skew,42017,SF_k110,110,0.9731335699937322,4.688264045396385,0.99827977798488
gamma2_skew,42018,SF_k106,106,0.9187206599719125,3.1996190487595433,0.9889654188625578
gamma2_skew,42018,SF_k107,107,0.9310223909852352,3.0984912093799974,0.987510829880482
gamma2_skew,42018,SF_k108,108,0.9438729148535301,3.1232146055034273,0.9878828356553961
gamma2_skew,42018,SF_k109,109,0.957600953042881,2.9792994264688684,0.9855553331564593
gamma2_skew,42018,SF_k110,110,0.9731335699937322,3.9802599165347923,0.9958048079893208
gamma2_skew,42019,SF_k106,106,0.9187206599719125,3.250844265372405,0.9896377256952803
gamma2_skew,42019,SF_k107,107,0.9310223909852352,3.0376668494315733,0.9865475735817011
gamma2_skew,42019,SF_k108,108,0.9438729148535301,3.2085182299226394,0.9890851982724451
gamma2_skew,42019,SF_k109,109,0.957600953042881,4.0876099473572625,0.9963323025430865
gamma2_skew,42019,SF_k110,110,0.9731335699937322,4.77697524398379,0.9984628346216847
gamma2_skew,42020,SF_k106,106,0.9187206599719125,2.747571988737205,0.9808645666950097
gamma2_skew,42020,SF_k107,107,0.9310223909852352,2.8138862251957337,0.9823402624017582
gamma2_skew,42020,SF_k108,108,0.9438729148535301,2.5969444969095328,0.97705417840239
gamma2_skew,42020,SF_k109,109,0.957600953042881,2.756418393630362,0.9810681378184168
gamma2_skew,42020,SF_k110,110,0.9731335699937322,2.495041485571149,0.9740696454274546
gamma2_skew,42021,SF_k106,106,0.9187206599719125,3.5733641254035455,0.9930387291556307
gamma2_skew,42021,SF_k107,107,0.9310223909852352,3.516225878532916,0.99252859215956
gamma2_skew,42021,SF_k108,108,0.9438729148535301,3.37206679552431,0.9910732596638369
gamma2_skew,42021,SF_k109,109,0.957600953042881,3.497240654791773,0.9923511195908966
gamma2_skew,42021,SF_k110,110,0.9731335699937322,3.615351340205994,0.9933916819420221
gamma2_skew,42022,SF_k106,106,0.9187206599719125,3.7568853448923565,0.9944569647901256
gamma2_skew,42022,SF_k107,107,0.9310223909852352,4.223946154908875,0.9969090575887336
gamma2_skew,42022,SF_k108,108,0.9438729148535301,4.705734675102808,0.9983174534182487
gamma2_skew,42022,SF_k109,109,0.957600953042881,4.6004662850704765,0.9980774718931678
gamma2_skew,42022,SF_k110,110,0.9731335699937322,4.428506872718076,0.9976109087610027
gamma2_skew,42023,SF_k106,106,0.9187206599719125,2.871560187501361,0.9835332612857869
gamma2_skew,42023,SF_k107,107,0.9310223909852352,2.781679200703417,0.9816379214939617
gamma2_skew,42023,SF_k108,108,0.9438729148535301,2.75811060999179,0.981106838271781
gamma2_skew,42023,SF_k109,109,0.957600953042881,2.729488835787594,0.9804418071260571
gamma2_skew,42023,SF_k110,110,0.9731335699937322,3.1351876465149364,0.9880590830076391
gamma2_skew,42024,SF_k106,106,0.9187206599719125,3.1803166500000692,0.9887011881997528
gamma2_skew,42024,SF_k107,107,0.9310223909852352,3.0217707430050287,0.986284124198614
gamma2_skew,42024,SF_k108,108,0.9438729148535301,3.0841899689871406,0.9872905815835648
gamma2_skew,42024,SF_k109,109,0.957600953042881,3.029792858870208,0.9864176987817995
gamma2_skew,42024,SF_k110,110,0.9731335699937322,2.800747989789413,0.9820569668825171
gamma2_skew,42025,SF_k106,106,0.9187206599719125,4.021342799193993,0.9960149505212325
gamma2_skew,42025,SF_k107,107,0.9310223909852352,3.7786693187376654,0.9946052078598037
gamma2_skew,42025,SF_k108,108,0.9438729148535301,3.892476920586903,0.9953186263103416
gamma2_skew,42025,SF_k109,109,0.957600953042881,3.6842304365473204,0.9939330578730067
gamma2_skew,42025,SF_k110,110,0.9731335699937322,5.231116546575631,0.999138047650895
gamma2_skew,42026,SF_k106,106,0.9187206599719125,2.839816753565341,0.9828866909187126
gamma2_skew,42026,SF_k107,107,0.9310223909852352,2.676653843889973,0.979153991605638
gamma2_skew,42026,SF_k108,108,0.9438729148535301,3.290292170978687,0.9901280227054275
gamma2_skew,42026,SF_k109,109,0.957600953042881,3.1332558616161315,0.9880308166748418
gamma2_skew,42026,SF_k110,110,0.9731335699937322,3.329965294937602,0.9905982272233282
gamma2_skew,42027,SF_k106,106,0.9187206599719125,3.013612346239726,0.9861469676258767
gamma2_skew,42027,SF_k107,107,0.9310223909852352,3.4795561752745563,0.992182096360225
gamma2_skew,42027,SF_k108,108,0.9438729148535301,4.147122023558722,0.9965960362677143
gamma2_skew,42027,SF_k109,109,0.957600953042881,4.501093929695711,0.9978200961165232
gamma2_skew,42027,SF_k110,110,0.9731335699937322,4.353148030482078,0.997372811178501
gamma2_skew,42028,SF_k106,106,0.9187206599719125,3.3363833763019084,0.990672207482461
gamma2_skew,42028,SF_k107,107,0.9310223909852352,3.686898970763583,0.993953132440198
gamma2_skew,42028,SF_k108,108,0.9438729148535301,3.4916044957885095,0.9922976430279591
gamma2_skew,42028,SF_k109,109,0.957600953042881,4.512725393259007,0.99785189458859
gamma2_skew,42028,SF_k110,110,0.9731335699937322,4.254882653134778,0.9970269484195406
gamma2_skew,42029,SF_k106,106,0.9187206599719125,2.9528734388606295,0.985082979808579
gamma2_skew,42029,SF_k107,107,0.9310223909852352,2.70589602574261,0.9798765864223513
gamma2_skew,42029,SF_k108,108,0.9438729148535301,2.670131136777808,0.9789894101146459
gamma2_skew,42029,SF_k109,109,0.957600953042881,2.5064868895240973,0.9744227247340733
gamma2_skew,42029,SF_k110,110,0.9731335699937322,2.66471725990251,0.9788518500924798
gamma2_skew,42030,SF_k106,106,0.9187206599719125,3.6325957609506876,0.9935315056937213
gamma2_skew,42030,SF_k107,107,0.9310223909852352,3.7986958638879607,0.9947380543917512
gamma2_skew,42030,SF_k108,108,0.9438729148535301,3.679655115577334,0.9938984869221015
gamma2_skew,42030,SF_k109,109,0.957600953042881,3.4740187641421785,0.9921284234525153
gamma2_skew,42030,SF_k110,110,0.9731335699937322,3.216786258799543,0.9891953441758575
gamma2_skew,42031,SF_k106,106,0.9187206599719125,3.179529296153436,0.988690279990954
gamma2_skew,42031,SF_k107,107,0.9310223909852352,3.074341354226665,0.9871367086993875
gamma2_skew,42031,SF_k108,108,0.9438729148535301,3.602497049947392,0.9932855317255304
gamma2_skew,42031,SF_k109,109,0.957600953042881,4.147771453567606,0.9965988088067718
gamma2_skew,42031,SF_k110,110,0.9731335699937322,3.9102663859956097,0.9954214276798071
gamma2_skew,42032,SF_k106,106,0.9187206599719125,3.2263539114238964,0.9893214489120465
gamma2_skew,42032,SF_k107,107,0.9310223909852352,3.6450382180989354,0.9936305879298006
gamma2_skew,42032,SF_k108,108,0.9438729148535301,3.6571735937846044,0.993725790774492
gamma2_skew,42032,SF_k109,109,0.957600953042881,3.5158114967285403,0.9925247619490879
gamma2_skew,42032,SF_k110,110,0.9731335699937322,3.443413035311942,0.9918251977483028
gamma2_skew,42033,SF_k106,106,0.9187206599719125,2.554889045411965,0.9758651234771635
gamma2_skew,42033,SF_k107,107,0.9310223909852352,2.3214457848887737,0.9681006402096827
gamma2_skew,42033,SF_k108,108,0.9438729148535301,2.239295072460557,0.9648332650660233
gamma2_skew,42033,SF_k109,109,0.957600953042881,2.0218671110755144,0.9545577455188057
gamma2_skew,42033,SF_k110,110,0.9731335699937322,3.7362621701400087,0.9943129411648919
gamma2_skew,42034,SF_k106,106,0.9187206599719125,3.142969240071244,0.9881722868676347
gamma2_skew,42034,SF_k107,107,0.9310223909852352,3.050933617971549,0.9867636645739475
gamma2_skew,42034,SF_k108,108,0.9438729148535301,2.981380473147183,0.9855919058703662
gamma2_skew,42034,SF_k109,109,0.957600953042881,3.05968091469697,0.9869042866187073
gamma2_skew,42034,SF_k110,110,0.9731335699937322,5.005291641248542,0.9988501707068437
gamma2_skew,42035,SF_k106,106,0.9187206599719125,3.483280211216693,0.9922179909218101
gamma2_skew,42035,SF_k107,107,0.9310223909852352,3.5916050510610975,0.9931942794481974
gamma2_skew,42035,SF_k108,108,0.9438729148535301,3.4811609916536517,0.9921975844063986
gamma2_skew,42035,SF_k109,109,0.957600953042881,3.741129046287949,0.9943472568857376
gamma2_skew,42035,SF_k110,110,0.9731335699937322,5.008583848061076,0.9988549830275155
gamma2_skew,42036,SF_k106,106,0.9187206599719125,2.8360049691219653,0.982807409213501
gamma2_skew,42036,SF_k107,107,0.9310223909852352,2.6572361292652387,0.978660325246539
gamma2_skew,42036,SF_k108,108,0.9438729148535301,2.959737861521255,0.9852071050816494
gamma2_skew,42036,SF_k109,109,0.957600953042881,3.5070631574608186,0.9924434490206445
gamma2_skew,42036,SF_k110,110,0.9731335699937322,5.394626907079728,0.99930078611989
gamma2_skew,42037,SF_k106,106,0.9187206599719125,3.180783235339278,0.988707647548849
gamma2_skew,42037,SF_k107,107,0.9310223909852352,3.496864167455519,0.9923475587938961
gamma2_skew,42037,SF_k108,108,0.9438729148535301,3.731796197620299,0.994281272383129
gamma2_skew,42037,SF_k109,109,0.957600953042881,3.617875028541928,0.993412328429696
gamma2_skew,42037,SF_k110,110,0.9731335699937322,3.5511459437179616,0.992844551402141
gamma2_skew,42038,SF_k106,106,0.9187206599719125,2.6668986891530477,0.9789073823170379
gamma2_skew,42038,SF_k107,107,0.9310223909852352,2.40735690993286,0.9712038419386273
gamma2_skew,42038,SF_k108,108,0.9438729148535301,2.547441357228811,0.9756484225783294
gamma2_skew,42038,SF_k109,109,0.957600953042881,3.7318942552223486,0.9942819695763206
gamma2_skew,42038,SF_k110,110,0.9731335699937322,6.046859267509516,0.9996978934310056
gamma2_skew,42039,SF_k106,106,0.9187206599719125,3.4852199975097613,0.9922366238129078
gamma2_skew,42039,SF_k107,107,0.9310223909852352,3.2185275231751986,0.9892184023629532
gamma2_skew,42039,SF_k108,108,0.9438729148535301,3.345112363726943,0.9907719122938597
gamma2_skew,42039,SF_k109,109,0.957600953042881,3.510346243548387,0.9924740652636055
gamma2_skew,42039,SF_k110,110,0.9731335699937322,3.3764955461924755,0.9911218431194946
gamma2_skew,42040,SF_k106,106,0.9187206599719125,2.9492053210263824,0.9850162362282643
gamma2_skew,42040,SF_k107,107,0.9310223909852352,2.8896914044335507,0.983891840667482
gamma2_skew,42040,SF_k108,108,0.9438729148535301,3.0800719089629047,0.9872264614140446
gamma2_skew,42040,SF_k109,109,0.957600953042881,2.9347400182485934,0.9847501856556558
gamma2_skew,42040,SF_k110,110,0.9731335699937322,3.544947130284675,0.9927894360439337
gamma2_skew,42041,SF_k106,106,0.9187206599719125,3.6572033399916863,0.9937260224125073
gamma2_skew,42041,SF_k107,107,0.9310223909852352,3.429270334081525,0.9916812449996139
gamma2_skew,42041,SF_k108,108,0.9438729148535301,3.2847407448335817,0.9900604205895717
gamma2_skew,42041,SF_k109,109,0.957600953042881,3.155406461545504,0.9883510477685152
gamma2_skew,42041,SF_k110,110,0.9731335699937322,3.911186364078089,0.9954266832906221
gamma2_skew,42042,SF_k106,106,0.9187206599719125,3.9548096830360784,0.9956692039800458
gamma2_skew,42042,SF_k107,107,0.9310223909852352,3.8517428917177003,0.9950746184999228
gamma2_skew,42042,SF_k108,108,0.9438729148535301,4.624743777986594,0.9981356494951886
gamma2_skew,42042,SF_k109,109,0.957600953042881,5.408908589676833,0.9993134646566637
gamma2_skew,42042,SF_k110,110,0.9731335699937322,8.133190333727832,0.9999801593324535
gamma2_skew,42043,SF_k106,106,0.9187206599719125,3.673850987764157,0.9938543530514669
gamma2_skew,42043,SF_k107,107,0.9310223909852352,3.4829095074895977,0.9922144250944112
gamma2_skew,42043,SF_k108,108,0.9438729148535301,3.3572065703071483,0.9909083350036527
gamma2_skew,42043,SF_k109,109,0.957600953042881,3.8481409258240427,0.9950524501920662
gamma2_skew,42043,SF_k110,110,0.9731335699937322,3.948034389059106,0.9956323837199323
gamma2_skew,42044,SF_k106,106,0.9187206599719125,3.059200002438792,0.9868965934298684
gamma2_skew,42044,SF_k107,107,0.9310223909852352,2.827625088022196,0.9826318576225043
gamma2_skew,42044,SF_k108,108,0.9438729148535301,2.825431551653646,0.982585617804418
gamma2_skew,42044,SF_k109,109,0.957600953042881,2.8125902473626345,0.9823125120704733
gamma2_skew,42044,SF_k110,110,0.9731335699937322,2.6165683083618685,0.977589399464979
gamma2_skew,42045,SF_k106,106,0.9187206599719125,3.5147496253616706,0.9925149380878697
gamma2_skew,42045,SF_k107,107,0.9310223909852352,3.321619004438219,0.9905011621416894
gamma2_skew,42045,SF_k108,108,0.9438729148535301,3.322804833417696,0.9905150124876718
gamma2_skew,42045,SF_k109,109,0.957600953042881,4.111532812686999,0.9964406512174314
gamma2_skew,42045,SF_k110,110,0.9731335699937322,5.907731229413424,0.9996384656957558
gamma2_skew,42046,SF_k106,106,0.9187206599719125,3.161804900326325,0.9884419828408466
gamma2_skew,42046,SF_k107,107,0.9310223909852352,3.3735404244884135,0.9910894541936266
gamma2_skew,42046,SF_k108,108,0.9438729148535301,3.2842046762215618,0.9900538687460846
gamma2_skew,42046,SF_k109,109,0.957600953042881,3.273673851224133,0.9899243015272691
gamma2_skew,42046,SF_k110,110,0.9731335699937322,3.4402236522299248,0.991792948781344
gamma2_skew,42047,SF_k106,106,0.9187206599719125,2.5079223084397895,0.9744666763732551
gamma2_skew,42047,SF_k107,107,0.9310223909852352,2.256230383243435,0.9655321627833524
gamma2_skew,42047,SF_k108,108,0.9438729148535301,2.369315178154796,0.9698674662328562
gamma2_skew,42047,SF_k109,109,0.957600953042881,2.493822322378214,0.9740317587810846
gamma2_skew,42047,SF_k110,110,0.9731335699937322,3.5070102981493627,0.9924429550875553
gamma2_skew,42048,SF_k106,106,0.9187206599719125,3.899738627538729,0.9953608611091004
gamma2_skew,42048,SF_k107,107,0.9310223909852352,3.7576350155475753,0.994462132194972
gamma2_skew,42048,SF_k108,108,0.9438729148535301,3.8450581393631933,0.9950333993883737
gamma2_skew,42048,SF_k109,109,0.957600953042881,3.7478337775649373,0.9943941985598799
gamma2_skew,42048,SF_k110,110,0.9731335699937322,3.5495802765464015,0.9928306697078277
gamma2_skew,42049,SF_k106,106,0.9187206599719125,3.5233338717904106,0.9925939942143517
gamma2_skew,42049,SF_k107,107,0.9310223909852352,3.240229697610641,0.9895017853879405
gamma2_skew,42049,SF_k108,108,0.9438729148535301,3.0841915684944334,0.9872906064275685
gamma2_skew,42049,SF_k109,109,0.957600953042881,2.943641845499202,0.9849144501642284
gamma2_skew,42049,SF_k110,110,0.9731335699937322,2.864167188199805,0.9833848324637595
gamma2_skew,42050,SF_k106,106,0.9187206599719125,3.2074629169268416,0.9890710608150836
gamma2_skew,42050,SF_k107,107,0.9310223909852352,3.150955253864156,0.9882873753927041
gamma2_skew,42050,SF_k108,108,0.9438729148535301,2.931477814547488,0.9846895535996141
gamma2_skew,42050,SF_k109,109,0.957600953042881,2.7270618739879273,0.9803843823553376
gamma2_skew,42050,SF_k110,110,0.9731335699937322,3.9270782208399724,0.9955165397489902
gamma2_skew,42051,SF_k106,106,0.9187206599719125,3.616782675741508,0.9934033995807302
gamma2_skew,42051,SF_k107,107,0.9310223909852352,3.642695720170368,0.9936120484663001
gamma2_skew,42051,SF_k108,108,0.9438729148535301,3.658234516305521,0.9937340471496814
gamma2_skew,42051,SF_k109,109,0.957600953042881,4.052120621176334,0.9961655680330493
gamma2_skew,42051,SF_k110,110,0.9731335699937322,4.740845375667495,0.9983907244057144
gamma2_skew,42052,SF_k106,106,0.9187206599719125,4.878232846114344,0.998648368833114
gamma2_skew,42052,SF_k107,107,0.9310223909852352,5.179391471084254,0.9990791562795202
gamma2_skew,42052,SF_k108,108,0.9438729148535301,5.049279240653407,0.9989128506860393
gamma2_skew,42052,SF_k109,109,0.957600953042881,4.972693860786455,0.998801430061206
gamma2_skew,42052,SF_k110,110,0.9731335699937322,6.078433045987273,0.9997099695910288
gamma2_skew,42053,SF_k106,106,0.9187206599719125,4.216023320104468,0.9968781330294771
gamma2_skew,42053,SF_k107,107,0.9310223909852352,4.6967207101896715,0.9982981175919566
gamma2_skew,42053,SF_k108,108,0.9438729148535301,4.483753033284947,0.9977718256646695
gamma2_skew,42053,SF_k109,109,0.957600953042881,5.46744704119035,0.9993630981453592
gamma2_skew,42053,SF_k110,110,0.9731335699937322,5.530581188075294,0.9994126532226805
gamma2_skew,42054,SF_k106,106,0.9187206599719125,3.535794599825119,0.9927072972320852
