shape,method,reps,pr_cov_ge_90,width
gamma2_skew,SF_k106,150,1.0,6.429985319351153
gamma2_skew,SF_k107,150,1.0,6.303804823771426
gamma2_skew,SF_k108,150,1.0,6.426130010721422
gamma2_skew,SF_k109,150,1.0,6.7978321607674115
gamma2_skew,SF_k110,150,1.0,7.95702016054875
laplace,SF_k106,150,1.0,6.619179756217521
laplace,SF_k107,150,1.0,6.408754937449813
laplace,SF_k108,150,1.0,6.460494968277941
laplace,SF_k109,150,1.0,6.688816200894814
laplace,SF_k110,150,1.0,7.599217147287213
normal,SF_k106,150,1.0,6.3797320065190775
normal,SF_k107,150,1.0,6.083486011957794
normal,SF_k108,150,1.0,5.942385372206851
normal,SF_k109,150,1.0,5.922826687041032
normal,SF_k110,150,1.0,6.449865685604532
trunc_laplace,SF_k106,150,1.0,6.313039300185926
trunc_laplace,SF_k107,150,1.0,6.053866855385464
trunc_laplace,SF_k108,150,1.0,5.966195039454014
trunc_laplace,SF_k109,150,1.0,5.988978675456048
trunc_laplace,SF_k110,150,1.0,6.323449968783332
